"campaign_id";"company_size";"industry";"marketing_channel";"ad_spend";"duration";"target_audience";"region";"device";"operating_system";"browser";"engagement_metric";"conversion_rate";"success";"budget_allocation";"audience_reach";"device_conversion_rate";"os_conversion_rate";"browser_conversion_rate";"total_conversions";"revenue";"ROAS";"CPA"
77;"51-100";"services";"influencer";31497;56;"35-54";"South America";"tablet";"Windows";"Safari";205725;0.170967753;1;562.4464286;257156.25;0.7;0.7;0.7;35172.0;2813790.0;89.3351;0.895513
78;"1-10";"manufacturing";"content marketing";35524;22;"18-34";"North America";"mobile";"iOS";"Chrome";480888;0.802681453;1;1614.727273;480888.0;0.8;0.9;0.9;386000.0;19300000.0;543.294;0.0920311
79;"11-50";"e-commerce";"search engine";48959;78;"urban";"North America";"mobile";"iOS";"Safari";223762;0.952835563;1;627.6794872;186468.3333;0.8;0.9;0.7;213208.0;6396250.0;130.645;0.22963
80;"1-10";"finance";"search engine";39785;67;"rural";"South America";"tablet";"Windows";"Chrome";477590;0.869592614;0;593.8059701;682271.4286;0.7;0.7;0.9;415309.0;62296300.0;1565.82;0.0957961
81;"100+";"retail";"email";18366;50;"55+";"North America";"desktop";"Windows";"Firefox";158208;0.161496963;1;367.32;263680.0;0.9;0.7;0.8;25550.0;766503.0;41.7349;0.718826
82;"51-100";"retail";"search engine";42649;24;"suburban";"North America";"mobile";"Android";"Chrome";116851;0.751615483;1;1777.041667;129834.4444;0.8;0.8;0.9;87827.0;2634810.0;61.7789;0.485602
83;"11-50";"technology";"content marketing";39246;56;"35-54";"Europe";"tablet";"Android";"Chrome";353703;0.204163846;0;700.8214286;442128.75;0.7;0.8;0.9;72213.0;5777070.0;147.201;0.543476
84;"1-10";"manufacturing";"search engine";31928;86;"35-54";"North America";"tablet";"iOS";"Safari";107599;0.038834393;1;371.255814;134498.75;0.7;0.9;0.7;4179.0;208927.0;6.54369;7.64011
85;"11-50";"e-commerce";"influencer";25581;36;"18-34";"Asia-Pacific";"tablet";"Android";"Firefox";488892;0.484471717;1;710.5833333;488892.0;0.7;0.8;0.8;236854.0;7105630.0;277.77;0.108003
86;"11-50";"technology";"email";29105;55;"rural";"Asia-Pacific";"desktop";"Windows";"Firefox";13992;0.670380614;1;529.1818182;19988.57143;0.9;0.7;0.8;9380.0;750397.0;25.7824;3.10288
87;"51-100";"healthcare";"influencer";42638;27;"18-34";"Africa";"desktop";"Windows";"Firefox";176374;0.124287563;1;1579.185185;176374.0;0.9;0.7;0.8;21921.0;3288160.0;77.1182;1.94508
88;"51-100";"manufacturing";"content marketing";24843;28;"18-34";"Europe";"mobile";"Android";"Firefox";200398;0.605518957;1;887.25;200398.0;0.8;0.8;0.8;121345.0;6067240.0;244.223;0.20473
89;"100+";"finance";"content marketing";49714;53;"urban";"Europe";"mobile";"iOS";"Safari";57257;0.8436455;1;938.0;47714.16667;0.8;0.9;0.7;48305.0;7245690.0;145.748;1.02917
90;"11-50";"services";"search engine";47191;31;"rural";"Asia-Pacific";"tablet";"Android";"Safari";49793;0.209010447;1;1522.290323;71132.85714;0.7;0.8;0.7;10407.0;832581.0;17.6428;4.53454
91;"1-10";"services";"social media";10434;62;"suburban";"Europe";"mobile";"Windows";"Safari";263295;0.42778938;1;168.2903226;292550.0;0.8;0.7;0.7;112635.0;9010780.0;863.598;0.0926355
92;"51-100";"services";"social media";38339;70;"urban";"Europe";"tablet";"Windows";"Firefox";23408;0.498800727;1;547.7;19506.66667;0.7;0.7;0.8;11676.0;934074.0;24.3636;3.28357
93;"51-100";"manufacturing";"content marketing";24973;34;"18-34";"Africa";"mobile";"iOS";"Chrome";59218;0.831211751;1;734.5;59218.0;0.8;0.9;0.9;49223.0;2461130.0;98.5518;0.507344
94;"11-50";"finance";"content marketing";46107;39;"18-34";"South America";"desktop";"Windows";"Firefox";180390;0.771376614;1;1182.230769;180390.0;0.9;0.7;0.8;139149.0;20872300.0;452.693;0.33135
95;"51-100";"finance";"email";16635;72;"rural";"North America";"desktop";"iOS";"Firefox";143011;0.769327639;1;231.0416667;204301.4286;0.9;0.9;0.8;110022.0;16503300.0;992.086;0.151197
96;"11-50";"manufacturing";"content marketing";5596;10;"rural";"Africa";"tablet";"iOS";"Firefox";438941;0.67903834;1;559.6;627058.5714;0.7;0.9;0.8;298058.0;14902900.0;2663.13;0.0187749
97;"11-50";"retail";"content marketing";26457;86;"35-54";"South America";"mobile";"Android";"Chrome";255046;0.617789147;1;307.6395349;318807.5;0.8;0.8;0.9;157565.0;4726940.0;178.665;0.167912
98;"11-50";"healthcare";"email";37415;18;"urban";"North America";"mobile";"Android";"Chrome";299616;0.508887524;1;2078.611111;249680.0;0.8;0.8;0.9;152471.0;22870600.0;611.269;0.245391
99;"1-10";"services";"influencer";33321;23;"urban";"Asia-Pacific";"mobile";"iOS";"Safari";101287;0.369618649;0;1448.73913;84405.83333;0.8;0.9;0.7;37438.0;2995010.0;89.8834;0.890032
100;"1-10";"services";"influencer";19834;42;"rural";"South America";"tablet";"Android";"Firefox";122733;0.513227613;1;472.2380952;175332.8571;0.7;0.8;0.8;62990.0;5039200.0;254.069;0.314875
101;"1-10";"finance";"email";42018;22;"suburban";"North America";"mobile";"Windows";"Firefox";169494;0.85371975;0;1909.909091;188326.6667;0.8;0.7;0.8;144700.0;21705100.0;516.566;0.29038
102;"51-100";"technology";"email";25709;29;"urban";"Africa";"desktop";"iOS";"Firefox";478633;0.570588536;1;886.5172414;398860.8333;0.9;0.9;0.8;273103.0;21848200.0;849.827;0.0941366
103;"11-50";"finance";"influencer";8371;78;"rural";"North America";"mobile";"iOS";"Firefox";434020;0.985605858;1;107.3205128;620028.5714;0.8;0.9;0.8;427773.0;64165900.0;7665.26;0.0195688
104;"11-50";"services";"influencer";5157;15;"suburban";"Europe";"desktop";"Android";"Safari";254052;0.142533186;1;343.8;282280.0;0.9;0.8;0.7;36211.0;2896870.0;561.735;0.142415
105;"100+";"healthcare";"influencer";21032;84;"55+";"North America";"mobile";"iOS";"Chrome";221162;0.441154806;1;250.3809524;368603.3333;0.8;0.9;0.9;97567.0;14635000.0;695.845;0.215565
106;"11-50";"services";"influencer";8318;61;"rural";"Asia-Pacific";"tablet";"iOS";"Safari";251571;0.200280486;1;136.3606557;359387.1429;0.7;0.9;0.7;50385.0;4030780.0;484.585;0.165089
107;"11-50";"services";"search engine";18462;79;"suburban";"Africa";"tablet";"iOS";"Safari";304443;0.365099908;1;233.6962025;338270.0;0.7;0.9;0.7;111152.0;8892170.0;481.647;0.166097
108;"51-100";"retail";"email";44989;70;"18-34";"South America";"mobile";"Android";"Safari";466915;0.789764374;1;642.7;466915.0;0.8;0.8;0.7;368753.0;11062600.0;245.895;0.122003
109;"11-50";"services";"social media";13957;53;"55+";"North America";"mobile";"iOS";"Chrome";88679;0.824774458;1;263.3396226;147798.3333;0.8;0.9;0.9;73140.0;5851210.0;419.232;0.190826
110;"1-10";"services";"search engine";16843;73;"35-54";"Africa";"desktop";"iOS";"Safari";306547;0.031719117;1;230.7260274;383183.75;0.9;0.9;0.7;9723.0;777872.0;46.1837;1.73228
111;"11-50";"services";"social media";7612;16;"35-54";"Asia-Pacific";"tablet";"iOS";"Firefox";171818;0.95336958;1;475.75;214772.5;0.7;0.9;0.8;163806.0;13104500.0;1721.56;0.0464696
112;"1-10";"e-commerce";"social media";25946;10;"35-54";"South America";"mobile";"Android";"Safari";430549;0.871871981;1;2594.6;538186.25;0.8;0.8;0.7;375384.0;11261500.0;434.036;0.0691186
113;"100+";"healthcare";"content marketing";17020;36;"18-34";"North America";"tablet";"iOS";"Firefox";42620;0.904969758;1;472.7777778;42620.0;0.7;0.9;0.8;38570.0;5785470.0;339.922;0.441276
114;"100+";"manufacturing";"email";17773;17;"rural";"Asia-Pacific";"tablet";"iOS";"Safari";81906;0.376779392;1;1045.470588;117008.5714;0.7;0.9;0.7;30860.0;1543020.0;86.8185;0.575924
115;"51-100";"e-commerce";"search engine";35247;57;"35-54";"Europe";"mobile";"Android";"Safari";319980;0.496959859;1;618.3684211;399975.0;0.8;0.8;0.7;159017.0;4770520.0;135.345;0.221656
116;"100+";"services";"email";5443;25;"suburban";"Africa";"mobile";"iOS";"Firefox";5998;0.168503367;1;217.72;6664.444444;0.8;0.9;0.8;1011.0;80854.7;14.8548;5.38378
117;"100+";"e-commerce";"influencer";43741;19;"rural";"Africa";"mobile";"iOS";"Firefox";246058;0.396832407;1;2302.157895;351511.4286;0.8;0.9;0.8;97644.0;2929310.0;66.9695;0.447964
118;"1-10";"technology";"email";22288;63;"18-34";"North America";"mobile";"iOS";"Firefox";54424;0.126146148;1;353.7777778;54424.0;0.8;0.9;0.8;6865.0;549230.0;24.6424;3.24661
119;"100+";"e-commerce";"social media";7910;9;"urban";"Asia-Pacific";"desktop";"iOS";"Firefox";135818;0.863285853;1;878.8888889;113181.6667;0.9;0.9;0.8;117250.0;3517490.0;444.689;0.0674627
120;"11-50";"finance";"influencer";49169;84;"18-34";"South America";"mobile";"iOS";"Firefox";282682;0.58112978;1;585.3452381;282682.0;0.8;0.9;0.8;164275.0;24641200.0;501.154;0.299309
121;"100+";"e-commerce";"email";39569;80;"18-34";"South America";"desktop";"Windows";"Chrome";426726;0.135981792;1;494.6125;426726.0;0.9;0.7;0.9;58027.0;1740810.0;43.9943;0.681907
122;"100+";"services";"email";22309;44;"urban";"South America";"mobile";"iOS";"Chrome";252714;0.879065577;1;507.0227273;210595.0;0.8;0.9;0.9;222152.0;17772200.0;796.637;0.100422
123;"11-50";"finance";"social media";16913;33;"suburban";"South America";"tablet";"Windows";"Chrome";390758;0.08036841;1;512.5151515;434175.5556;0.7;0.7;0.9;31405.0;4710690.0;278.525;0.538545
124;"1-10";"healthcare";"influencer";19265;86;"55+";"North America";"mobile";"Windows";"Safari";15343;0.926947317;1;224.0116279;25571.66667;0.8;0.7;0.7;14222.0;2133320.0;110.736;1.35459
125;"11-50";"e-commerce";"social media";33963;16;"urban";"North America";"desktop";"Windows";"Chrome";221798;0.105749308;0;2122.6875;184831.6667;0.9;0.7;0.9;23455.0;703650.0;20.7181;1.44801
126;"11-50";"finance";"email";34905;59;"18-34";"Africa";"mobile";"Windows";"Firefox";486826;0.717976196;1;591.6101695;486826.0;0.8;0.7;0.8;349529.0;52429400.0;1502.06;0.099863
127;"100+";"manufacturing";"search engine";29235;33;"35-54";"Asia-Pacific";"mobile";"Windows";"Chrome";31866;0.645306919;1;885.9090909;39832.5;0.8;0.7;0.9;20563.0;1028170.0;35.1691;1.42173
128;"100+";"finance";"search engine";14426;13;"urban";"Europe";"tablet";"Android";"Chrome";130057;0.782701461;1;1109.692308;108380.8333;0.7;0.8;0.9;101796.0;15269400.0;1058.46;0.141715
129;"1-10";"technology";"content marketing";7922;88;"urban";"North America";"tablet";"Android";"Safari";452146;0.564770004;1;90.02272727;376788.3333;0.7;0.8;0.7;255359.0;20428700.0;2578.73;0.031023
130;"11-50";"technology";"search engine";45323;19;"55+";"South America";"desktop";"Android";"Firefox";167226;0.349921536;1;2385.421053;278710.0;0.9;0.8;0.8;58516.0;4681280.0;103.287;0.77454
131;"11-50";"finance";"influencer";35091;78;"18-34";"Europe";"mobile";"Windows";"Safari";85981;0.274400896;1;449.8846154;85981.0;0.8;0.7;0.7;23593.0;3538990.0;100.852;1.48735
132;"11-50";"services";"content marketing";32771;66;"35-54";"Africa";"mobile";"iOS";"Chrome";498829;0.945470612;1;496.530303;623536.25;0.8;0.9;0.9;471628.0;37730300.0;1151.33;0.0694848
133;"1-10";"technology";"influencer";14776;20;"35-54";"South America";"tablet";"iOS";"Chrome";258280;0.441270238;1;738.8;322850.0;0.7;0.9;0.9;113971.0;9117700.0;617.062;0.129647
134;"11-50";"manufacturing";"search engine";5919;50;"55+";"Asia-Pacific";"desktop";"iOS";"Safari";398476;0.842193549;1;118.38;664126.6667;0.9;0.9;0.7;335594.0;16779700.0;2834.89;0.0176374
135;"100+";"e-commerce";"search engine";42772;76;"rural";"Europe";"mobile";"iOS";"Safari";292308;0.723055831;1;562.7894737;417582.8571;0.8;0.9;0.7;211355.0;6340650.0;148.243;0.20237
